4	8	1	0	6	5	7	2	3	-1	1	1	1	0	0	1	0	0	1	-1	89.0	325.0	0.9000000000000001	
1	8	7	0	4	5	6	2	3	-1	1	1	1	0	0	1	0	0	1	-1	101.0	278.0	0.9000000000000001	
1	8	0	2	6	5	7	4	3	-1	1	1	1	0	0	0	0	1	1	-1	91.0	301.0	0.9000000000000001	
1	8	2	0	7	5	6	4	3	-1	1	1	1	0	0	0	0	1	1	-1	103.0	254.0	0.9000000000000001	
3	4	6	5	7	2	1	0	8	-1	0	0	0	0	0	0	0	1	0	-1	69.0	459.0	0.9600000000000001	
4	0	6	5	7	3	2	1	8	-1	1	1	0	0	1	0	0	0	1	-1	84.0	354.0	0.9000000000000001	
1	8	2	0	6	5	7	4	3	-1	1	1	1	0	1	0	0	1	1	-1	99.0	296.0	0.8000000000000002	
8	1	5	0	3	4	7	6	2	-1	1	0	1	0	1	1	0	1	1	-1	109.0	243.0	0.8000000000000002	
4	2	0	6	5	7	3	1	8	-1	0	0	0	0	1	0	0	1	1	-1	82.0	537.0	0.9600000000000002	
4	3	7	5	6	2	1	0	8	-1	1	0	0	0	0	0	0	0	1	-1	77.0	454.0	0.8470588235294118	
1	8	2	0	5	4	7	6	3	-1	1	1	1	0	1	1	0	1	1	-1	117.0	238.0	0.7200000000000001	
3	4	6	5	7	2	1	0	8	-1	0	0	1	0	1	0	0	1	1	-1	81.0	442.0	0.8470588235294118	
